Time,HM,M,SA,A
0,100,100,100,100
5,94.91,73.07,93.11,91.34
10,65.49,54.14,90,59.25
13,57.68,47.79,88.18,57.01
16,55.35,46.29,90.86,55.4
22,53.35,44.46,86.79,55.4
25,,39.41,85.61,
