Time,fev6y,fev9y,fevRF,mai6y,mai9y,maiRF,ago6y,ago9y,agoRF,nov6y,nov9y,novRF
0,100,100,100,100,100,100,100,100,100,100,100,100
30,67.81,67.81,68.13,86.56,93.13,85.63,81.92,80.35,85.37,82.63,83.57,82
60,48.44,45.94,50.63,70.94,69.06,75.63,75.75,79.2,76.06,74.58,78.02,70.81
90,35.94,39.69,40.63,71.88,68.44,68.75,70.84,73.97,74.29,60.57,76.25,69.66
