Time,CK,QZ,JG,SF
0,100,100,100,100
10,91.46,91.17,90.42,88.55
20,90.92,89.33,89.87,83.92
30,90.7,85.05,87.97,76.4
130,78.05,72.28,75,73.9
198,61.46,59.82,60.98,62.54
