Time,Sc2,Sc1,Sc0.5,Sp2,Sp1,Sp0.5,Ci2,Ci1,Ci0.5,Ck2,Ck1,Ck0.5
0,100,100,100,100,100,100,100,100,100,100,100,100
60,82.98,81.83,85.29,80.96,84.28,88.61,54,54.29,62.61,62.12,61.39,73.36
120,78.37,79.38,85,77.5,80.1,84.71,53.39,53.98,61.57,61.81,60.5,66.63
360,74.18,77.21,81.83,76.2,79.81,84.13,53.17,52.88,60.91,59.69,58.23,64.22
420,71.15,73.46,80.96,70,78.08,84.28,50.97,50.82,56.37,56.9,54.86,60.99
480,66.39,68.56,77.36,69.13,70.87,82.12,40.14,47.73,55.03,43.74,46.81,58.34
