Time,UMW,USW,UPW,UHW,UMD,USD,UPD,UHD,CMW,CSW,CPW,CHW,CMD,CSD,CPS,CHS,TMW,TSW,TPW,THW,TMD,TSD,TPD,THD,CYMW,CYSW,CYPW,CYHW,CYMD,CYSD,CYPD,CYHD
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,91.203,85.252,80.698,73.851,86.212,90.716,92.492,88.453,99.205,95.85,96.072,92.181,96.142,93.051,89.245,91.158,99.733,92.024,95.98,91.747,89.032,94.54,92.987,88.687,98.163,93.55,90.584,86.747,95.575,91.807,92.255,89.465
2,89.744,76.479,71.807,66.194,93.802,83.072,85.818,81.106,97.113,92.686,93.039,88.996,90.041,91.555,85.072,87.078,98.114,91.327,88.022,83.847,93.938,89.156,91.548,83.182,93.399,86.875,83.821,81.964,91.333,88.717,83.045,84.335
3,77.744,51.611,61.951,59.332,95.583,84.667,90.469,86.235,94.479,86.585,86.017,83.117,91.572,90.683,89.961,87.448,97.371,81.472,81.585,80.943,94.288,89.261,94.034,88.587,85.238,78.782,80.858,75.234,92.518,92.49,90.127,88.641
4,,,,,93.283,81.014,86.657,78.244,,,,,92.295,90.73,93.974,80.83,,,,,96.783,84.977,96.324,82.556,,,,,90.395,90.357,94.371,83.889
