species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Urochloa mosambicensis, graminoid, no, aboveground parts, 8,
Pennisetum cenchroides, graminoid, no, aboveground parts, 8,
Themeda triandra, graminoid, no, aboveground parts, 8,
Cymbopogon excavatus, graminoid, no, aboveground parts, 8,
