Time,CJ,MP,CM,CR
0,100,100,100,100
4,74.879,84.117,85.004,83.399
10,52.084,72.123,69.264,70.21
38,31.41,45.4,41.331,50.436
66,14.298,26.919,23.631,30.381
95,11.156,18.869,18.844,23.313
135,8.515,19.938,17.394,20.718
