Time,LU,LD,MU,MD,SU,SD
0,100,100,100,100,100,100
1,100.135,100.084,100.084,99.046,98.2,102.498
3,99.563,102.026,98.659,97.856,99.83,101.126
6,97.427,96.818,96.825,99.234,96.853,98.971
12,52.058,61.268,52.606,54.028,58.593,59.971
24,41.56,41.405,39.077,38.969,43.572,44.681
