Time,FM,MM,LM,BEN,ZIN,DDT,DIE
0,100,100,100,100,100,100,100
2,95.086,94.497,93.692,94.961,90.943,88.93,87.52
4,92.262,91.723,91.305,92.482,89.95,87.597,86.18
8,89.249,88.984,88.551,93.159,88.449,86.25,84.613
12,75.473,75.737,73.932,87.171,83.609,78.77,77.442
16,67.396,68.897,68.301,84.193,79.693,75.772,74.839
20,64.615,64.164,62.495,,,,
24,61.737,61.577,59.67,80.241,76.71,73.08,71.928
48,55.472,53.144,48.498,74.745,71.58,67.55,64.663
