Time,Larrea,Lycium,Ambrosia
0,100,100,100
6,90,61.5,70.5
12,83.5,55.5,62
18,85,56.5,61
24,80.5,55,56
30,75.5,53.5,58.5
36,73,56,54.5
42,67,47.5,48.5
48,65.5,46,47.5
54,57.5,36.5,41.5
