species,type,N-fixer,material,amount,carbon,nitrogen,C:N,phosphorus,potassium,sodium,magnesium,manganese,copper,zinc,lead,calcium,sulfur,iron,lignin,cellulose,hemicellulose,cell solubles,SLA
mean1,,,aboveground parts,,46.237,1.3622,34.106,,,,,,,,,,,,,,,,
mean2,,,aboveground parts,,44.737,1.0865,37.635,,,,,,,,,,,,,,,,
mean3,,,aboveground parts,,42.091,1.256,34.106,,,,,,,,,,,,,,,,
mean4,,,aboveground parts,,40.791,1.0927,37.635,,,,,,,,,,,,,,,,
