Time,PGUVB,PGUVP,PSUVB,PSUVP,PeGUVB,PeGUVP,PeSUVB,PeSUVP,CGUVB,CGUVP,CSUVB,CSUVP,SGUVB,SGUVP,SSUVB,SSUVP,CkGUVB,CkGUVP,CkSUVB,CkSUVP,AGUVB,AGUVP,ASUVB,ASUVP,AgGUVB,AgGUVP,AgSUVB,AgSUVP,CoGUVB,CoGUVP,CoSUVB,CoSUVP
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
4,98.827,98.83,98.826,97.765,98.821,98.914,98.733,99.953,96.959,96.899,95.594,96.884,99.417,92.941,99.306,99.026,98.256,97.176,98.256,98.406,99.953,99.953,98.664,98.006,99.168,99.072,99.073,99.494,97.828,97.761,98.28,99.6
6,89.786,90.746,95.046,89.474,90.885,90.62,94.406,94.707,90.147,87.28,92.892,94.137,72.941,70.925,76.894,76.329,62.166,66.16,75.581,65.116,91.433,95.279,95.477,95.279,80.775,82.935,82.794,82.292,74.736,73.196,77.557,72.067
8,71.868,69.371,73.684,74.127,67.798,67.139,73.589,73.93,71.451,72.295,77.334,78.998,58.824,60.203,61.916,59.413,46.061,47.844,47.674,46.512,77.936,78.667,82.282,81.641,67.499,71.083,70.618,61.948,59.047,62.864,55.938,49.008
12,67.818,66.082,70.76,67.35,62.483,63.083,69.539,66.356,66.6,67.895,75.394,74.78,58.824,58.247,61.124,55.89,44.186,45.9,41.852,40.196,80.035,76.903,80.775,81.464,62.698,65.776,68.025,59.943,54.052,58.615,53.511,44.227
