Time,PopCM,PopDW1,PopDW2,PinCM,PinDW1,PinDW2
0,100,100,100,100,100,100
60,68.43,70.27,78.54,72.64,74.26,83.04
120,58.93,61.69,72.26,63.78,67.01,75.8
180,54.94,57.7,63.22,56.99,59.31,64.16
