Time,T1M80,T1M5,T1M1,T2M80,T2M5,T2M1
0,100,100,100,100,100,100
1,107.19,104.7,84.41,79.88,74.6,78.72
3,90.36,84.84,72.39,77.58,73.79,81.87
9,76.34,63.88,60.68,57.01,55.02,66.58
18,,,,60.05,53.45,47.01
