Time,SPGLD,SPGMD,SPGHD,SPCLD,SPCMD,SPCHD,SGGLD,SGGMD,SGGHD,SGCLD,SGCMD,SGCHD,APGLD,APGMD,APGHD,APCLD,APCMD,APCHD,AGGLD,AGGMD,AGGHD,AGCLD,AGCMD,AGCHD,CPGS,CPCS,CGGS,CGCS,CPGA,CPCA,CGGA,CGCA
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
3,90.811,94.37,93.897,93.509,94.372,97.844,95.696,96.478,96.088,97.782,97.009,99.025,93.832,98.324,96.787,97.393,96.508,96.952,95.798,94.258,93.6,96.964,96.946,96.176,93.139,96.246,95.612,94.658,96.636,96.287,91.494,95.147
8,71.381,77.597,74.12,77.372,77.805,80.516,62.831,63.54,64.636,64.377,64.763,67.082,83.402,83.748,83.631,92.055,87.185,85.905,72.44,71.784,68.449,76.491,77.058,77.426,74.008,77.292,62.154,68.713,72.764,78.898,48.017,64.609
15,61.545,67.16,67.84,65.659,67.549,70.883,48.982,52.085,57.498,55.337,57.474,56.518,69.725,67.373,71.048,74.689,79.903,84.041,58.278,59.287,61.726,69.385,70.957,72.455,61.675,72.321,46.47,53.108,63.645,74.106,36.54,51.751
20,46.397,56.883,58.636,55.544,53.904,58.436,36.221,37.381,37.767,37.777,34.173,38.54,57.113,65.714,62.03,70.657,76.84,79.085,51.553,37.112,52.868,66.411,67.847,63.057,48.718,60.169,39.262,46.341,55.826,63.63,23.376,41.635
