species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, iron, lignin, cellulose, hemicellulose, cell solubles, SLA
Cleistogenes squarrosa, graminoid, no, leaves, 2, 42.112, 0.64, 65.8
Stipa krylovii, graminoid, no, leaves, 3, 43.714, 0.55, 79.48
