species, type, N-fixer, material, amount, carbon, nitrogen, C:N, phosphorus, potassium, sodium, magnesium, manganese, copper, zinc, lead, calcium, sulfur, lignin, cellulose, hemicellulose, cell solubles, SLA
Datura innoxia, evergreen, no, leaves, 5,,,,,,,,,,,,,,,,,,
Solanum sisymbriifolium, forb, no, leaves, 5,,,,,,,,,,,,,,,,,,
mixture, graminoid, no, leaves, 5,,,,,,,,,,,,,,,,,,
