Time,D,S,G
15,82.40,84.69,90.61
30,63.99,60.15,84.91
45,41.04,48.68,79.52
60,36.22,42.25,76.93
75,29.12,41.54,69.81
90,23.45,39.59,60.97
105,19.14,38.49,56.44
120,16.23,34.21,49.97
135,13.96,31.81,43.94
150,12.43,29.06,42.64
