Time,CNTR,IN,FGIN,FGINN
0,100,100,100,100
5,89.3852,97.6653,98.3743,96.4588
10,79.4649,94.6612,98.0991,96.2299
20,77.2024,91.9451,97.6182,93.2794
25,74.0009,83.9521,97.9218,92.7832
30,71.133,80.9805,95.8179,92.9162
