Time, SkN0, SkN8, SkN32, SkN64, AfN0, AfN8, AfN32, AfN64, SAN0, SAN8, SAN32, SAN64
0, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100, 100
2, 94.0, 93.5, 94.1, 94.7, 92.8, 93.7, 92.7, 93.2, 90.9, 91.3, 90.4, 90.6
4, 82.9, 82.7, 83.2, 82.5, 78.4, 77.5, 79.1, 77.5, 76.3, 75.2, 76.5, 76.0
6, 77.2, 77.9, 76.3, 76.9, 72.8, 74.0, 72.7, 73.2, 71.6, 70.7, 71.0, 70.9
