Time,NS,tS,MS,TS
0,100,100,100,100
60, 92.7627118644068 , 92.6610169491525 , 92.6610169491525 , 91.7457627118644
120, 91.4406779661017 , 90.1186440677966 , 87.7796610169492 , 87.3728813559322
180, 89.8135593220339 , 88.5932203389831 , 86.9661016949152 , 86.1525423728814
240, 82.0847457627119 , 81.5762711864407 , 80.7627118644068 , 79.135593220339
300, 78.8305084745763 , 78.4237288135593 , 75.9830508474576 , 74.9661016949152
365, 75.271186440678 , 74.2542372881356 , 72.728813559322 , 70.7966101694915
